,Customer ID,Tenure Months,Location,Device Class,Games Product,Music Product,Education Product,Call Center,Video Product,Use MyApp,Payment Method,Monthly Purchase (Thou. IDR),Churn Label,Longitude,Latitude,CLTV (Predicted Thou. IDR),cluster
17,17,18,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,124.085,Yes,106.816666,-6.2,4132.7,Short-term Customers with High Consumption Levels
18,18,9,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,122.72,Yes,106.816666,-6.2,7242.3,Short-term Customers with High Consumption Levels
19,19,1,Jakarta,High End,No,No,No,No,Yes,No,Pulsa,103.155,Yes,106.816666,-6.2,3227.9,Short-term Customers with High Consumption Levels
20,20,7,Jakarta,High End,No,No,Yes,No,No,No,Debit,97.695,Yes,106.816666,-6.2,4494.1,Short-term Customers with High Consumption Levels
21,21,12,Jakarta,High End,Yes,No,No,No,No,No,Pulsa,102.635,Yes,106.816666,-6.2,7547.8,Short-term Customers with High Consumption Levels
22,22,5,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,27.365,Yes,106.816666,-6.2,3385.2,Short-term Customers with Low Consumption Levels
23,23,25,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,128.05,Yes,106.816666,-6.2,6938.1,Short-term Customers with High Consumption Levels
24,24,68,Jakarta,High End,No,Yes,Yes,Yes,Yes,Yes,Debit,143,Yes,106.816666,-6.2,6544.2,Long-term Customers with High Consumption Levels
25,25,55,Jakarta,High End,Yes,Yes,No,No,Yes,No,Pulsa,125.775,Yes,106.816666,-6.2,6700.2,Long-term Customers with High Consumption Levels
26,26,37,Jakarta,High End,No,No,No,No,No,No,Pulsa,99.45,Yes,106.816666,-6.2,3630.9,Short-term Customers with High Consumption Levels
27,27,10,Jakarta,High End,Yes,No,No,No,Yes,Yes,Pulsa,130.325,Yes,106.816666,-6.2,7797.4,Short-term Customers with High Consumption Levels
28,28,3,Jakarta,High End,No,No,No,No,No,No,Pulsa,96.72,Yes,106.816666,-6.2,5739.5,Short-term Customers with High Consumption Levels
29,29,27,Jakarta,High End,No,No,Yes,No,No,No,Pulsa,101.465,Yes,106.816666,-6.2,6029.4,Short-term Customers with High Consumption Levels
30,30,25,Jakarta,Mid End,Yes,Yes,Yes,No,Yes,Yes,Credit,76.18,Yes,106.816666,-6.2,5447,Short-term Customers with High Consumption Levels
31,31,1,Jakarta,Mid End,No,No,No,No,No,Yes,Pulsa,46.085,Yes,106.816666,-6.2,2991.3,Short-term Customers with Low Consumption Levels
32,32,2,Jakarta,Mid End,No,No,No,No,No,No,Pulsa,57.655,Yes,106.816666,-6.2,3341,Short-term Customers with Low Consumption Levels
33,33,1,Jakarta,High End,No,No,No,No,No,No,Digital Wallet,91.585,Yes,106.816666,-6.2,5153.2,Short-term Customers with High Consumption Levels
34,34,8,Jakarta,Mid End,Yes,No,No,Yes,No,Yes,Pulsa,92.495,Yes,106.816666,-6.2,3460.6,Short-term Customers with High Consumption Levels
35,35,1,Jakarta,Mid End,No,No,No,No,No,No,Pulsa,59.345,Yes,106.816666,-6.2,3380,Short-term Customers with Low Consumption Levels
36,36,7,Jakarta,High End,No,No,No,No,Yes,Yes,Digital Wallet,123.5,Yes,106.816666,-6.2,3621.8,Short-term Customers with High Consumption Levels
37,37,20,Bandung,High End,Yes,No,No,No,No,No,Pulsa,107.12,Yes,107.60981,-6.914744,7434.7,Short-term Customers with High Consumption Levels
38,38,4,Bandung,High End,No,No,No,No,No,No,Debit,92.17,Yes,107.60981,-6.914744,5573.1,Short-term Customers with High Consumption Levels
39,39,58,Bandung,Mid End,No,Yes,Yes,No,No,Yes,Pulsa,58.89,Yes,107.60981,-6.914744,7077.2,Long-term Customers with Low Consumption Levels
40,40,2,Bandung,High End,No,No,Yes,Yes,Yes,Yes,Pulsa,135.72,Yes,107.60981,-6.914744,6097,Short-term Customers with High Consumption Levels
41,41,53,Bandung,High End,No,No,Yes,No,Yes,Yes,Debit,123.305,Yes,107.60981,-6.914744,5626.4,Long-term Customers with High Consumption Levels
42,42,15,Bandung,High End,No,No,No,No,No,No,Digital Wallet,96.785,Yes,107.60981,-6.914744,7432.1,Short-term Customers with High Consumption Levels
43,43,7,Bandung,High End,Yes,No,No,No,No,No,Debit,99.385,Yes,107.60981,-6.914744,5744.7,Short-term Customers with High Consumption Levels
44,44,1,Bandung,Mid End,No,Yes,No,No,No,No,Debit,38.935,Yes,107.60981,-6.914744,5894.2,Short-term Customers with Low Consumption Levels
45,45,8,Bandung,High End,No,No,No,No,No,Yes,Debit,109.85,Yes,107.60981,-6.914744,2797.6,Short-term Customers with High Consumption Levels
46,46,13,Bandung,High End,No,Yes,Yes,No,No,No,Pulsa,103.025,Yes,107.60981,-6.914744,6684.6,Short-term Customers with High Consumption Levels
47,47,1,Bandung,Mid End,No,No,No,No,No,No,Pulsa,32.24,Yes,107.60981,-6.914744,6306.3,Short-term Customers with Low Consumption Levels
48,48,6,Bandung,High End,No,Yes,Yes,No,No,Yes,Pulsa,118.3,Yes,107.60981,-6.914744,2967.9,Short-term Customers with High Consumption Levels
49,49,1,Bandung,High End,No,No,No,No,No,Yes,Pulsa,103.87,Yes,107.60981,-6.914744,4412.2,Short-term Customers with High Consumption Levels
50,50,19,Bandung,High End,Yes,No,Yes,Yes,Yes,Yes,Pulsa,138.58,Yes,107.60981,-6.914744,4893.2,Short-term Customers with High Consumption Levels
51,51,2,Bandung,Mid End,No,No,No,No,No,No,Credit,59.8,Yes,107.60981,-6.914744,3467.1,Short-term Customers with Low Consumption Levels
52,52,4,Bandung,High End,No,No,No,No,No,No,Pulsa,91.195,Yes,107.60981,-6.914744,2895.1,Short-term Customers with High Consumption Levels
53,53,4,Bandung,Mid End,No,No,No,Yes,No,No,Digital Wallet,65.065,Yes,107.60981,-6.914744,4412.2,Short-term Customers with Low Consumption Levels
54,54,1,Bandung,Mid End,No,No,No,No,Yes,No,Digital Wallet,71.76,Yes,107.60981,-6.914744,4729.4,Short-term Customers with Low Consumption Levels
55,55,1,Bandung,High End,Yes,No,No,No,No,Yes,Digital Wallet,109.98,Yes,107.60981,-6.914744,3229.2,Short-term Customers with High Consumption Levels
56,56,2,Bandung,Mid End,No,Yes,No,No,No,No,Digital Wallet,70.72,Yes,107.60981,-6.914744,3322.8,Short-term Customers with Low Consumption Levels
57,57,11,Bandung,High End,No,Yes,No,No,Yes,Yes,Pulsa,123.5,Yes,107.60981,-6.914744,7774,Short-term Customers with High Consumption Levels
58,58,15,Bandung,High End,No,Yes,No,No,No,No,Pulsa,96.72,Yes,107.60981,-6.914744,6000.8,Short-term Customers with High Consumption Levels
59,59,1,Bandung,Mid End,Yes,No,No,No,No,No,Digital Wallet,63.115,Yes,107.60981,-6.914744,7393.1,Short-term Customers with Low Consumption Levels
60,60,2,Bandung,High End,No,No,No,No,No,No,Pulsa,91.52,Yes,107.60981,-6.914744,7393.1,Short-term Customers with High Consumption Levels
61,61,1,Bandung,Mid End,No,Yes,No,No,Yes,No,Pulsa,52.26,Yes,107.60981,-6.914744,7576.4,Short-term Customers with Low Consumption Levels
62,62,2,Bandung,Mid End,No,No,No,No,No,No,Credit,57.98,Yes,107.60981,-6.914744,6349.2,Short-term Customers with Low Consumption Levels
63,63,3,Bandung,Mid End,No,No,Yes,No,No,Yes,Pulsa,53.495,Yes,107.60981,-6.914744,3008.2,Short-term Customers with Low Consumption Levels
64,64,13,Bandung,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,138.97,Yes,107.60981,-6.914744,3242.2,Short-term Customers with High Consumption Levels
65,65,59,Bandung,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.155,Yes,107.60981,-6.914744,6609.2,Long-term Customers with Low Consumption Levels
66,66,16,Bandung,High End,No,No,No,Yes,Yes,Yes,Pulsa,122.785,Yes,107.60981,-6.914744,4953,Short-term Customers with High Consumption Levels
67,67,1,Bandung,Mid End,No,No,No,No,No,No,Debit,32.24,Yes,107.60981,-6.914744,6613.1,Short-term Customers with Low Consumption Levels
68,68,1,Bandung,High End,No,No,No,No,No,No,Digital Wallet,91.78,Yes,107.60981,-6.914744,4339.4,Short-term Customers with High Consumption Levels
69,69,5,Bandung,High End,No,Yes,No,Yes,No,No,Pulsa,111.02,Yes,107.60981,-6.914744,4778.8,Short-term Customers with High Consumption Levels
70,70,52,Bandung,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,136.565,Yes,107.60981,-6.914744,6290.7,Long-term Customers with High Consumption Levels
71,71,18,Bandung,High End,No,No,Yes,No,Yes,Yes,Digital Wallet,123.695,Yes,107.60981,-6.914744,6035.9,Short-term Customers with High Consumption Levels
72,72,1,Bandung,High End,No,No,No,No,No,No,Pulsa,91,Yes,107.60981,-6.914744,5322.2,Short-term Customers with High Consumption Levels
73,73,8,Bandung,High End,No,Yes,No,No,No,No,Pulsa,96.85,Yes,107.60981,-6.914744,5648.5,Short-term Customers with High Consumption Levels
74,74,10,Bandung,Mid End,No,No,No,No,No,No,Credit,58.305,Yes,107.60981,-6.914744,5279.3,Short-term Customers with Low Consumption Levels
75,75,24,Bandung,High End,No,No,No,No,No,No,Pulsa,98.93,Yes,107.60981,-6.914744,2623.4,Short-term Customers with High Consumption Levels
76,76,1,Bandung,High End,Yes,No,No,No,No,No,Digital Wallet,95.68,Yes,107.60981,-6.914744,3334.5,Short-term Customers with High Consumption Levels
77,77,4,Bandung,High End,No,No,No,No,Yes,Yes,Pulsa,124.085,Yes,107.60981,-6.914744,4780.1,Short-term Customers with High Consumption Levels
78,78,32,Bandung,High End,No,No,No,No,No,No,Pulsa,97.37,Yes,107.60981,-6.914744,5336.5,Short-term Customers with High Consumption Levels
79,79,5,Jakarta,High End,No,No,No,No,Yes,No,Pulsa,104.78,Yes,106.816666,-6.2,7429.5,Short-term Customers with High Consumption Levels
80,80,38,Jakarta,Mid End,Yes,Yes,No,Yes,Yes,Yes,Credit,104.39,Yes,106.816666,-6.2,2692.3,Long-term Customers with High Consumption Levels
81,81,24,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,121.095,Yes,106.816666,-6.2,2875.6,Short-term Customers with High Consumption Levels
82,82,54,Jakarta,Mid End,Yes,Yes,No,Yes,Yes,Yes,Debit,107.185,Yes,106.816666,-6.2,5393.7,Long-term Customers with High Consumption Levels
83,83,2,Jakarta,High End,No,No,No,No,No,No,Pulsa,91.455,Yes,106.816666,-6.2,3472.3,Short-term Customers with High Consumption Levels
84,84,7,Jakarta,High End,No,No,No,No,No,No,Pulsa,96.005,Yes,106.816666,-6.2,3214.9,Short-term Customers with High Consumption Levels
85,85,2,Jakarta,High End,No,No,Yes,No,No,No,Digital Wallet,104.78,Yes,106.816666,-6.2,3487.9,Short-term Customers with High Consumption Levels
86,86,68,Jakarta,Mid End,No,Yes,Yes,Yes,No,Yes,Debit,98.54,Yes,106.816666,-6.2,6373.9,Long-term Customers with High Consumption Levels
87,87,43,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,135.98,Yes,106.816666,-6.2,6825,Long-term Customers with High Consumption Levels
88,88,63,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,134.42,Yes,106.816666,-6.2,5657.6,Long-term Customers with High Consumption Levels
89,89,2,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,117.52,Yes,106.816666,-6.2,5404.1,Short-term Customers with High Consumption Levels
90,90,4,Jakarta,High End,No,Yes,Yes,No,No,No,Debit,110.24,Yes,106.816666,-6.2,6420.7,Short-term Customers with High Consumption Levels
91,91,21,Jakarta,Mid End,Yes,No,No,No,Yes,No,Pulsa,54.47,Yes,106.816666,-6.2,6211.4,Short-term Customers with Low Consumption Levels
92,92,10,Jakarta,High End,No,No,No,No,No,Yes,Debit,104.325,Yes,106.816666,-6.2,4677.4,Short-term Customers with High Consumption Levels
93,93,27,Jakarta,Mid End,Yes,No,No,No,No,No,Credit,39.975,Yes,106.816666,-6.2,3805.1,Short-term Customers with Low Consumption Levels
94,94,5,Jakarta,High End,No,No,Yes,No,Yes,Yes,Debit,125.45,Yes,106.816666,-6.2,6997.9,Short-term Customers with High Consumption Levels
95,95,2,Jakarta,High End,No,No,No,No,Yes,No,Pulsa,111.345,Yes,106.816666,-6.2,5041.4,Short-term Customers with High Consumption Levels
96,96,25,Jakarta,High End,No,No,Yes,Yes,Yes,Yes,Debit,136.435,Yes,106.816666,-6.2,4734.6,Short-term Customers with High Consumption Levels
97,97,1,Jakarta,Mid End,No,Yes,No,No,No,No,Digital Wallet,65.845,Yes,106.816666,-6.2,3160.3,Short-term Customers with Low Consumption Levels
98,98,1,Jakarta,High End,No,Yes,No,No,No,Yes,Credit,118.105,Yes,106.816666,-6.2,4451.2,Short-term Customers with High Consumption Levels
99,99,11,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.935,Yes,106.816666,-6.2,7654.4,Short-term Customers with Low Consumption Levels
100,100,55,Jakarta,High End,No,Yes,Yes,No,No,No,Pulsa,111.085,Yes,106.816666,-6.2,7152.6,Long-term Customers with High Consumption Levels
101,101,34,Jakarta,High End,No,Yes,No,No,No,No,Credit,96.135,Yes,106.816666,-6.2,7533.5,Short-term Customers with High Consumption Levels
102,102,69,Jakarta,High End,No,No,Yes,No,Yes,Yes,Credit,129.285,Yes,106.816666,-6.2,5226,Long-term Customers with High Consumption Levels
103,103,1,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.87,Yes,106.816666,-6.2,4356.3,Short-term Customers with Low Consumption Levels
104,104,1,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.48,Yes,106.816666,-6.2,4482.4,Short-term Customers with Low Consumption Levels
105,105,3,Jakarta,High End,No,Yes,No,No,No,No,Pulsa,105.755,Yes,106.816666,-6.2,3663.4,Short-term Customers with High Consumption Levels
106,106,22,Jakarta,High End,No,Yes,No,No,No,Yes,Pulsa,108.29,Yes,106.816666,-6.2,4945.2,Short-term Customers with High Consumption Levels
107,107,1,Jakarta,High End,No,No,Yes,No,No,No,Debit,97.89,Yes,106.816666,-6.2,6372.6,Short-term Customers with High Consumption Levels
108,108,61,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.22,Yes,106.816666,-6.2,5487.3,Long-term Customers with Low Consumption Levels
109,109,12,Jakarta,Mid End,No,No,No,No,No,No,Debit,59.02,Yes,106.816666,-6.2,3753.1,Short-term Customers with Low Consumption Levels
110,110,60,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,137.67,Yes,106.816666,-6.2,5336.5,Long-term Customers with High Consumption Levels
111,111,1,Jakarta,High End,No,No,No,No,No,No,Digital Wallet,90.415,Yes,106.816666,-6.2,3629.6,Short-term Customers with High Consumption Levels
112,112,28,Jakarta,High End,No,No,No,No,No,Yes,Pulsa,105.365,Yes,106.816666,-6.2,6761.3,Short-term Customers with High Consumption Levels
113,113,4,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,131.495,Yes,106.816666,-6.2,5742.1,Short-term Customers with High Consumption Levels
114,114,7,Jakarta,High End,No,Yes,No,No,Yes,Yes,Pulsa,129.74,Yes,106.816666,-6.2,2640.3,Short-term Customers with High Consumption Levels
115,115,13,Jakarta,Mid End,No,No,No,No,No,Yes,Pulsa,72.735,Yes,106.816666,-6.2,5847.4,Short-term Customers with Low Consumption Levels
116,116,1,Jakarta,Mid End,No,No,No,No,No,Yes,Pulsa,71.5,Yes,106.816666,-6.2,6340.1,Short-term Customers with Low Consumption Levels
117,117,1,Jakarta,High End,No,Yes,No,No,No,No,Pulsa,97.11,Yes,106.816666,-6.2,7774,Short-term Customers with High Consumption Levels
118,118,24,Jakarta,High End,No,Yes,No,No,No,No,Pulsa,104.325,Yes,106.816666,-6.2,5743.4,Short-term Customers with High Consumption Levels
119,119,5,Jakarta,High End,No,No,No,Yes,Yes,Yes,Pulsa,124.93,Yes,106.816666,-6.2,5449.6,Short-term Customers with High Consumption Levels
120,120,15,Jakarta,High End,No,No,No,No,No,No,Debit,89.7,Yes,106.816666,-6.2,7372.3,Short-term Customers with High Consumption Levels
121,121,48,Jakarta,Mid End,Yes,No,Yes,No,No,Yes,Debit,58.89,Yes,106.816666,-6.2,6403.8,Long-term Customers with Low Consumption Levels
122,122,8,Jakarta,High End,No,Yes,No,No,Yes,No,Pulsa,108.615,Yes,106.816666,-6.2,3742.7,Short-term Customers with High Consumption Levels
123,123,1,Jakarta,High End,No,No,No,No,No,No,Pulsa,96.655,Yes,106.816666,-6.2,3658.2,Short-term Customers with High Consumption Levels
124,124,2,Jakarta,High End,Yes,No,No,No,No,No,Pulsa,96.72,Yes,106.816666,-6.2,5541.9,Short-term Customers with High Consumption Levels
125,125,22,Jakarta,Mid End,No,Yes,Yes,No,No,Yes,Debit,56.875,Yes,106.816666,-6.2,4028.7,Short-term Customers with Low Consumption Levels
126,126,5,Jakarta,Mid End,No,Yes,No,No,No,No,Pulsa,36.985,Yes,106.816666,-6.2,5328.7,Short-term Customers with Low Consumption Levels
127,127,12,Jakarta,High End,Yes,Yes,Yes,No,No,Yes,Debit,129.61,Yes,106.816666,-6.2,3299.4,Short-term Customers with High Consumption Levels
128,128,20,Jakarta,High End,No,Yes,Yes,No,No,Yes,Pulsa,122.33,Yes,106.816666,-6.2,3465.8,Short-term Customers with High Consumption Levels
129,129,2,Jakarta,High End,No,No,No,Yes,Yes,Yes,Pulsa,122.46,Yes,106.816666,-6.2,4829.5,Short-term Customers with High Consumption Levels
130,130,6,Jakarta,High End,No,No,No,Yes,No,No,Pulsa,104.65,Yes,106.816666,-6.2,6541.6,Short-term Customers with High Consumption Levels
131,131,5,Jakarta,High End,No,No,No,No,No,No,Pulsa,96.655,Yes,106.816666,-6.2,6854.9,Short-term Customers with High Consumption Levels
132,132,40,Jakarta,High End,No,No,Yes,Yes,Yes,Yes,Debit,136.24,Yes,106.816666,-6.2,4539.6,Long-term Customers with High Consumption Levels
133,133,27,Jakarta,High End,Yes,No,No,No,No,No,Debit,97.76,Yes,106.816666,-6.2,5872.1,Short-term Customers with High Consumption Levels
134,134,23,Jakarta,High End,No,No,No,No,No,No,Debit,98.28,Yes,106.816666,-6.2,2749.5,Short-term Customers with High Consumption Levels
135,135,34,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,130.065,Yes,106.816666,-6.2,3338.4,Short-term Customers with High Consumption Levels
136,136,1,Jakarta,High End,No,No,No,No,No,Yes,Pulsa,110.5,Yes,106.816666,-6.2,7382.7,Short-term Customers with High Consumption Levels
137,137,10,Jakarta,High End,No,No,No,No,Yes,No,Debit,111.865,Yes,106.816666,-6.2,3855.8,Short-term Customers with High Consumption Levels
138,138,13,Jakarta,Mid End,Yes,No,No,Yes,Yes,No,Credit,59.215,Yes,106.816666,-6.2,6312.8,Short-term Customers with Low Consumption Levels
139,139,39,Jakarta,High End,No,Yes,No,No,Yes,No,Digital Wallet,112.19,Yes,106.816666,-6.2,4373.2,Long-term Customers with High Consumption Levels
140,140,32,Jakarta,High End,No,Yes,No,No,No,No,Debit,104.455,Yes,106.816666,-6.2,7766.2,Short-term Customers with High Consumption Levels
141,141,35,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,130.325,Yes,106.816666,-6.2,3567.2,Long-term Customers with High Consumption Levels
142,142,56,Jakarta,High End,No,Yes,No,No,Yes,Yes,Credit,130.39,Yes,106.816666,-6.2,6721,Long-term Customers with High Consumption Levels
143,143,12,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,24.7,Yes,106.816666,-6.2,4595.5,Short-term Customers with Low Consumption Levels
144,144,1,Jakarta,High End,Yes,No,No,No,No,No,Digital Wallet,97.89,Yes,106.816666,-6.2,4217.2,Short-term Customers with High Consumption Levels
145,145,4,Jakarta,High End,No,No,Yes,No,Yes,No,Pulsa,115.96,Yes,106.816666,-6.2,7550.4,Short-term Customers with High Consumption Levels
146,146,1,Jakarta,High End,No,No,No,No,Yes,No,Pulsa,111.41,Yes,106.816666,-6.2,6344,Short-term Customers with High Consumption Levels
147,147,12,Jakarta,Mid End,Yes,No,Yes,Yes,No,No,Digital Wallet,80.145,Yes,106.816666,-6.2,7371,Short-term Customers with High Consumption Levels
148,148,65,Jakarta,High End,Yes,No,Yes,No,Yes,Yes,Debit,136.825,Yes,106.816666,-6.2,5454.8,Long-term Customers with High Consumption Levels
149,149,9,Jakarta,Mid End,No,Yes,No,No,No,No,Pulsa,38.935,Yes,106.816666,-6.2,3344.9,Short-term Customers with Low Consumption Levels
150,150,9,Jakarta,Mid End,Yes,Yes,Yes,Yes,No,No,Digital Wallet,84.5,Yes,106.816666,-6.2,5177.9,Short-term Customers with High Consumption Levels
151,151,7,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Debit,26,Yes,106.816666,-6.2,5822.7,Short-term Customers with Low Consumption Levels
152,152,49,Jakarta,High End,No,Yes,No,No,No,Yes,Credit,117.065,Yes,106.816666,-6.2,6576.7,Long-term Customers with High Consumption Levels
153,153,43,Jakarta,High End,No,Yes,Yes,Yes,Yes,Yes,Debit,143.975,Yes,106.816666,-6.2,3546.4,Long-term Customers with High Consumption Levels
154,154,65,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,137.15,Yes,106.816666,-6.2,7436,Long-term Customers with High Consumption Levels
155,155,56,Jakarta,High End,Yes,No,Yes,No,Yes,Yes,Debit,135.915,Yes,106.816666,-6.2,8148.4,Long-term Customers with High Consumption Levels
156,156,10,Jakarta,High End,No,No,No,No,No,Yes,Pulsa,110.825,Yes,106.816666,-6.2,4644.9,Short-term Customers with High Consumption Levels
157,157,43,Jakarta,Mid End,No,No,No,No,Yes,No,Pulsa,72.995,Yes,106.816666,-6.2,2797.6,Long-term Customers with Low Consumption Levels
158,158,1,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,116.415,Yes,106.816666,-6.2,6494.8,Short-term Customers with High Consumption Levels
159,159,20,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,122.915,Yes,106.816666,-6.2,7285.2,Short-term Customers with High Consumption Levels
160,160,1,Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,59.41,Yes,106.816666,-6.2,2983.5,Short-term Customers with Low Consumption Levels
161,161,2,Jakarta,High End,No,Yes,No,No,No,Yes,Pulsa,116.35,Yes,106.816666,-6.2,2684.5,Short-term Customers with High Consumption Levels
162,162,3,Jakarta,High End,No,No,No,No,No,No,Debit,90.415,Yes,106.816666,-6.2,3738.8,Short-term Customers with High Consumption Levels
163,163,1,Jakarta,High End,No,No,Yes,No,No,No,Digital Wallet,96.98,Yes,106.816666,-6.2,5018,Short-term Customers with High Consumption Levels
164,164,8,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Pulsa,25.545,Yes,106.816666,-6.2,7061.6,Short-term Customers with Low Consumption Levels
165,165,2,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.805,Yes,106.816666,-6.2,3070.6,Short-term Customers with Low Consumption Levels
166,166,4,Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,31.525,Yes,106.816666,-6.2,2649.4,Short-term Customers with Low Consumption Levels
167,167,2,Jakarta,High End,No,No,No,No,No,No,Pulsa,90.545,Yes,106.816666,-6.2,3019.9,Short-term Customers with High Consumption Levels
168,168,4,Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,59.345,Yes,106.816666,-6.2,3723.2,Short-term Customers with Low Consumption Levels
169,169,1,Jakarta,High End,No,No,No,No,No,No,Digital Wallet,97.565,Yes,106.816666,-6.2,6289.4,Short-term Customers with High Consumption Levels
170,170,52,Jakarta,Mid End,No,Yes,No,No,Yes,Yes,Pulsa,63.895,Yes,106.816666,-6.2,7276.1,Long-term Customers with Low Consumption Levels
171,171,2,Jakarta,Mid End,No,No,No,No,No,Yes,Pulsa,45.11,Yes,106.816666,-6.2,4089.8,Short-term Customers with Low Consumption Levels
172,172,1,Jakarta,High End,No,No,No,No,No,Yes,Pulsa,104,Yes,106.816666,-6.2,2659.8,Short-term Customers with High Consumption Levels
173,173,2,Jakarta,Mid End,Yes,No,No,No,No,No,Pulsa,64.025,Yes,106.816666,-6.2,4517.5,Short-term Customers with Low Consumption Levels
174,174,3,Jakarta,High End,No,No,No,No,No,No,Credit,97.63,Yes,106.816666,-6.2,6454.5,Short-term Customers with High Consumption Levels
175,175,3,Jakarta,Mid End,No,No,Yes,No,No,No,Pulsa,65.195,Yes,106.816666,-6.2,4254.9,Short-term Customers with Low Consumption Levels
176,176,25,Jakarta,High End,Yes,Yes,No,No,No,No,Debit,103.805,Yes,106.816666,-6.2,5895.5,Short-term Customers with High Consumption Levels
